"target#aspect";"ratio";"RelatFreq";"OverallFreq";"lemmas";"postags";"FreqWords"
"emails#unknown";"1";"1";"1";"email";"N";"emails#1"
"knifes#Restaurant";"1";"1";"1";"knifes";"N";"knifes#1"
"acoustic#Noisiness";"1";"1";"1";"acoustic";"G";"acoustic#1"
"supervicion#Staff";"1";"1";"1";"supervicion";"N";"supervicion#1"
"interenet#Internet";"1";"1";"1";"interenet";"N";"interenet#1"
"mexican#Restaurant";"1";"1";"1";"mexican";"G";"mexican#1"
"breakfeast#Breakfast";"1";"1";"1";"breakfeast";"O";"breakfeast#1"
"partyplace#Facilities";"1";"1";"1";"partyplace";"N";"partyplace#1"
"bathtub#Bathroom";"1";"1";"1";"bathtub";"N";"bathtub#1"
"animaters#Staff";"1";"1";"1";"animaters";"N";"animaters#1"
"peace#unknown";"1";"1";"1";"peace";"N";"peace#1"
"commode#Rooms";"1";"1";"1";"commode";"N";"commode#1"
"streetside#Rooms";"1";"1";"1";"streetside";"N";"streetside#1"
"entertaintments#Facilities";"1";"1";"1";"entertaintments";"N";"entertaintments#1"
"suroundings#Interior/exterior";"1";"1";"1";"suroundings";"N";"suroundings#1"
"minibus#Transportation";"1";"1";"1";"Minibus";"R";"minibus#1"
"vacationd#unknown";"1";"1";"1";"vacationd";"N";"vacationd#1"
"maxxiland#unknown";"1";"1";"1";"maxxiland";"N";"maxxiland#1"
"mashrooms#Breakfast";"1";"1";"1";"mashrooms";"N";"mashrooms#1"
".taxis#Transportation";"1";"1";"1";".Taxis";"R";".taxis#1"
"brandy#Restaurant";"1";"1";"1";"brandy";"N";"brandy#1"
"timing#unknown";"1";"1";"1";"timing";"N";"timing#1"
"heaters#Facilities";"1";"1";"1";"heater";"N";"heaters#1"
"smiles#Staff";"1";"1";"1";"smile";"N";"smiles#1"
"amsterdam.major#Location";"1";"1";"1";"amsterdam.major";"G";"amsterdam.major#1"
"cocktails.#Facilities";"1";"1";"1";"cocktails.";"N";"cocktails.#1"
"establishments#unknown";"1";"1";"1";"establishment";"N";"establishments#1"
"firdge#Facilities";"1";"1";"1";"firdge";"N";"firdge#1"
"room.staff#Staff";"1";"1";"1";"room.staff";"N";"room.staff#1"
"swans#unknown";"1";"1";"1";"swan";"N";"swans#1"
"tournaments#Facilities";"1";"1";"1";"tournament";"N";"tournaments#1"
"nationality#unknown";"1";"1";"1";"nationality";"N";"nationality#1"
"coktails#Restaurant";"1";"1";"1";"coktails";"N";"coktails#1"
"housekeeping#Cleanliness";"1";"1";"1";"housekeeping";"V";"housekeeping#1"
"cabinet#Rooms";"1";"1";"1";"cabinet";"N";"cabinet#1"
"romms#Rooms";"1";"1";"1";"romms";"N";"romms#1"
"opportunitys#Facilities";"1";"1";"1";"opportunitys";"N";"opportunitys#1"
"odor#Cleanliness";"1";"1";"1";"odor";"N";"odor#1"
"aquagym#Facilities";"1";"1";"1";"Aquagym";"R";"aquagym#1"
"style.#Interior/exterior";"1";"1";"1";"style.";"N";"style.#1"
"carparking#Car parking";"1";"1";"1";"carparking";"N";"carparking#1"
"programme#Facilities";"1";"1";"1";"programme";"N";"programme#1"
"choise#unknown";"1";"1";"1";"choise";"N";"choise#1"
"toilets#Bathroom";"1";"1";"1";"toilet";"N";"toilets#1"
"cakes#Restaurant";"1";"1";"1";"cake";"N";"cakes#1"
"moquette#Interior/exterior";"1";"1";"1";"moquette";"N";"moquette#1"
"holiday.really#unknown";"1";"1";"1";"holiday.really";"A";"holiday.really#1"
"thessaloniki#Location";"1";"1";"1";"Thessaloniki";"R";"thessaloniki#1"
"curtains#Interior/exterior";"1";"1";"1";"curtain";"N";"curtains#1"
"vodka#Restaurant";"1";"1";"1";"Vodka";"R";"vodka#1"
"conncetion#Internet";"1";"1";"1";"conncetion";"N";"conncetion#1"
"waves#unknown";"1";"1";"1";"wave";"N";"waves#1"
"oasis#unknown";"1";"1";"1";"oasis";"N";"oasis#1"
"toaster#Facilities";"1";"1";"1";"toaster";"N";"toaster#1"
"appartement#unknown";"1";"1";"1";"appartement";"N";"appartement#1"
"cleaness#Cleanliness";"1";"1";"1";"cleaness";"N";"cleaness#1"
"decoration#Interior/exterior";"1";"1";"1";"decoration";"N";"decoration#1"
"microwave#Facilities";"1";"1";"1";"microwave";"N";"microwave#1"
"winows#Rooms";"1";"1";"1";"winows";"N";"winows#1"
"pub#Facilities";"1";"1";"1";"pub";"N";"pub#1"
"stares#unknown";"1";"1";"1";"stare";"N";"stares#1"
"sandbeach#Facilities";"1";"1";"1";"sandbeach";"N";"sandbeach#1"
"changes#unknown";"1";"1";"1";"change";"N";"changes#1"
"fitnes#Facilities";"1";"1";"1";"fitnes";"N";"fitnes#1"
"buses#Transportation";"1";"1";"1";"bus";"N";"buses#1"
"staff.#Staff";"1";"1";"1";"staff.";"N";"staff.#1"
"pipes#Bathroom";"1";"1";"1";"pipe";"N";"pipes#1"
"employes#Staff";"1";"1";"1";"employes";"N";"employes#1"
"bathrobes#Bathroom";"1";"1";"1";"bathrobes";"N";"bathrobes#1"
"sausages#Breakfast";"1";"1";"1";"sausage";"N";"sausages#1"
"ceiling#Interior/exterior";"1";"1";"1";"ceiling";"N";"ceiling#1"
"staircase#Facilities";"1";"1";"1";"Staircase";"R";"staircase#1"
"bedding#Beds";"1";"1";"1";"bedding";"N";"bedding#1"
"tanning#Facilities";"1";"1";"1";"tanning";"N";"tanning#1"
"pizzeria#Location";"1";"1";"1";"pizzeria";"N";"pizzeria#1"
"actions#unknown";"1";"1";"1";"action";"N";"actions#1"
"checkin#Reservation/check-in/check-out";"1";"1";"1";"Checkin";"R";"checkin#1"
"rum#Restaurant";"1";"1";"1";"rum";"N";"rum#1"
"hotel#unknown";"0";"177";"678";"hotel";"N";"hotel#680"
"it#unknown";"0";"118";"302";"it";"Q";"it#302"
"staff#Staff";"0";"81";"191";"staff";"N";"staff#191"
"location#Location";"0";"58";"99";"location";"N";"location#99"
"breakfast#Breakfast";"0";"54";"116";"breakfast";"N";"breakfast#116"
"food#Restaurant";"0";"53";"131";"food";"N";"food#131"
"room#Rooms";"0";"45";"262";"room";"N";"room#262"
"rooms#Rooms";"0";"42";"124";"room";"N";"rooms#124"
"service#Staff";"0";"28";"79";"service";"N";"service#79"
"everything#unknown";"0";"27";"52";"everything";"N";"everything#52"
"stay#unknown";"0";"26";"129";"stay";"N";"stay#129"
"holiday#unknown";"0";"26";"61";"holiday";"N";"holiday#61"
"bathroom#Bathroom";"0";"19";"46";"bathroom";"N";"bathroom#46"
"place#unknown";"0";"19";"68";"place";"N";"place#68"
"this#unknown";"0";"15";"254";"this";"D";"this#254"
"there#unknown";"0";"14";"213";"there";"A";"there#213"
"they#unknown";"0";"13";"77";"they";"Q";"they#77"
"bed#Beds";"0";"12";"33";"bed";"N";"bed#33"
"tv#Facilities";"0";"12";"25";"TV";"N";"tv#25"
"restaurant#Restaurant";"0";"11";"70";"restaurant";"N";"restaurant#70"
"here#unknown";"0";"10";"25";"here";"A";"here#25"
"place#Location";"0";"10";"68";"place";"N";"place#68"
"parking#Car parking";"0";"8";"22";"parking";"N";"parking#22"
"price#Value-for-money";"0";"8";"44";"price";"N";"price#44"
"vacation#unknown";"0";"8";"13";"vacation";"N";"vacation#13"
"drinks#Restaurant";"0";"7";"20";"drink";"N";"drinks#20"
"that#unknown";"0";"7";"162";"that";"D";"that#162"
"resort#unknown";"0";"7";"31";"resort";"N";"resort#31"
"its#unknown";"0";"7";"27";"its";"Q";"its#27"
"experience#unknown";"0";"7";"20";"experience";"N";"experience#20"
"beach#Location";"0";"7";"88";"beach";"N";"beach#88"
"restaurants#Restaurant";"0";"6";"42";"restaurant";"N";"restaurants#42"
"facilities#Facilities";"0";"6";"24";"facility";"N";"facilities#24"
"management#Staff";"0";"6";"11";"management";"N";"management#11"
"time#unknown";"0";"6";"74";"time";"N";"time#74"
"holidays#unknown";"0";"6";"14";"holiday";"N";"holidays#14"
"bar#Facilities";"0";"6";"45";"bar";"N";"bar#45"
"personnel#Staff";"0";"6";"11";"personnel";"N";"personnel#11"
"choice#unknown";"0";"6";"34";"choice";"N";"choice#34"
"pool#Swimming pool";"0";"6";"46";"pool";"N";"pool#46"
"people#Staff";"0";"6";"54";"person";"N";"people#54"
"wifi#Internet";"0";"5";"9";"wifi";"N";"wifi#9"
"beds#Beds";"0";"5";"11";"bed";"N";"beds#11"
"alphons#Staff";"0";"5";"6";"alphons";"R";"alphons#6"
"internet#Internet";"0";"5";"18";"internet";"N";"internet#18"
"towels#Bathroom";"0";"5";"14";"towel";"N";"towels#14"
"they#Staff";"0";"4";"77";"they";"Q";"they#77"
"dinner#Restaurant";"0";"4";"19";"dinner";"N";"dinner#19"
"lobby#Interior/exterior";"0";"4";"19";"lobby";"A";"lobby#19"
"elevator#Facilities";"0";"4";"7";"elevator";"N";"elevator#7"
"music#Facilities";"0";"4";"16";"music";"N";"music#16"
"sauna#Facilities";"0";"4";"9";"sauna";"N";"sauna#9"
"all#unknown";"0";"4";"188";"all";"D";"all#188"
"balcony#Rooms";"0";"4";"10";"balcony";"N";"balcony#10"
"walls#Interior/exterior";"0";"4";"6";"wall";"N";"walls#6"
"people#unknown";"0";"4";"54";"person";"N";"people#54"
"hosts#Staff";"0";"4";"10";"host";"N";"hosts#10"
"gym#Facilities";"0";"4";"13";"Gym";"R";"gym#13"
"location#unknown";"0";"4";"99";"location";"N";"location#99"
"pools#Swimming pool";"0";"3";"10";"pool";"N";"pools#10"
"coffee#Breakfast";"0";"3";"21";"coffee";"N";"coffee#21"
"accommodation#unknown";"0";"3";"6";"accommodation";"N";"accommodation#6"
"surroundings#Interior/exterior";"0";"3";"6";"surroundings";"N";"surroundings#6"
"lift#Facilities";"0";"3";"5";"lift";"N";"lift#5"
"cleanliness#Cleanliness";"0";"3";"9";"cleanliness";"N";"cleanliness#9"
"beaches#Location";"0";"3";"4";"beach";"N";"beaches#4"
"martha#Staff";"0";"3";"4";"Martha";"R";"martha#4"
"cheese#Breakfast";"0";"3";"4";"cheese";"N";"cheese#4"
"accomodation#unknown";"0";"3";"4";"accomodation";"N";"accomodation#4"
"wine#Restaurant";"0";"3";"5";"wine";"N";"wine#5"
"toilet#Bathroom";"0";"3";"12";"toilet";"N";"toilet#12"
"towels#Facilities";"0";"3";"14";"towel";"N";"towels#14"
"smell#Cleanliness";"0";"3";"8";"smell";"N";"smell#8"
"it#Breakfast";"0";"3";"302";"it";"Q";"it#302"
"shower#Bathroom";"0";"3";"16";"shower";"N";"shower#16"
"amenities#Facilities";"0";"3";"9";"amenity";"N";"amenities#9"
"services#Staff";"0";"3";"14";"service";"N";"services#14"
"disco#Facilities";"0";"3";"7";"disco";"N";"disco#7"
"quality#unknown";"0";"3";"25";"quality";"N";"quality#25"
"kettle#Facilities";"0";"2";"4";"Kettle";"R";"kettle#4"
"everybody#Staff";"0";"2";"11";"everybody";"N";"everybody#11"
"employees#Staff";"0";"2";"3";"employee";"N";"employees#3"
"reception#Staff";"0";"2";"29";"reception";"N";"reception#29"
"furniture#Interior/exterior";"0";"2";"6";"furniture";"N";"furniture#6"
"hospitality#unknown";"0";"2";"3";"hospitality";"N";"hospitality#3"
"tea#Breakfast";"0";"2";"12";"tea";"N";"tea#12"
"choice#Restaurant";"0";"2";"34";"choice";"N";"choice#34"
"dogs#Facilities";"0";"2";"5";"dog";"N";"dogs#5"
"bath#Bathroom";"0";"2";"9";"Bath";"R";"bath#9"
"restaurants#Location";"0";"2";"42";"restaurant";"N";"restaurants#42"
"fruit#Breakfast";"0";"2";"4";"fruit";"N";"fruit#4"
"honeymoon#unknown";"0";"2";"3";"honeymoon";"N";"honeymoon#3"
"spa#Facilities";"0";"2";"20";"spa";"N";"spa#20"
"meals#Restaurant";"0";"2";"10";"meal";"N";"meals#10"
"park#Location";"0";"2";"24";"park";"N";"park#24"
"iron#Facilities";"0";"2";"5";"iron";"N";"iron#5"
"cooks#Staff";"0";"2";"4";"cook";"N";"cooks#4"
"waiters#Staff";"0";"2";"9";"waiter";"N";"waiters#9"
"italian#Restaurant";"0";"2";"7";"italian";"G";"italian#7"
"noise#Noisiness";"0";"2";"20";"noise";"A";"noise#20"
"shops#Location";"0";"2";"12";"shop";"N";"shops#12"
"view#Rooms";"0";"2";"33";"view";"N";"view#33"
"hotels#unknown";"0";"2";"23";"hotel";"N";"hotels#23"
"atmosphere#unknown";"0";"2";"12";"Atmosphere";"R";"atmosphere#12"
"receptionist#Staff";"0";"2";"6";"receptionist";"N";"receptionist#6"
"room#unknown";"0";"2";"262";"room";"N";"room#262"
"metro#Transportation";"0";"2";"12";"Metro";"R";"metro#12"
"meal#Restaurant";"0";"2";"4";"meal";"N";"meal#4"
"looks#unknown";"0";"2";"13";"look";"N";"looks#13"
"style#Interior/exterior";"0";"2";"9";"style";"N";"style#9"
"lounge#Interior/exterior";"0";"2";"9";"lounge";"R";"lounge#9"
"cuisine#Restaurant";"0";"2";"3";"cuisine";"N";"cuisine#3"
"area#Location";"0";"2";"67";"area";"N";"area#67"
"downtown#Location";"0";"2";"4";"downtown";"G";"downtown#4"
"juice#Breakfast";"0";"2";"5";"juice";"N";"juice#5"
"dishes#Restaurant";"0";"2";"3";"dish";"N";"dishes#3"
"impression#unknown";"0";"2";"9";"impression";"N";"impression#9"
"bikes#Facilities";"0";"2";"3";"bike";"N";"bikes#3"
"drink#Restaurant";"0";"2";"12";"drink";"V";"drink#12"
"street#Location";"0";"2";"16";"street";"N";"street#16"
"hostel#unknown";"0";"2";"8";"hostel";"N";"hostel#8"
"two#unknown";"0";"2";"30";"two";"O";"two#30"
"work#unknown";"0";"2";"21";"work";"N";"work#21"
"windows#Rooms";"0";"2";"3";"window";"N";"windows#3"
"extra#Value-for-money";"0";"2";"11";"extra";"G";"extra#11"
"spot#unknown";"0";"2";"8";"spot";"N";"spot#8"
"quality#Breakfast";"0";"2";"25";"quality";"N";"quality#25"
"food#unknown";"0";"2";"131";"food";"N";"food#131"
"team#Staff";"0";"2";"20";"team";"N";"team#20"
"bars#Facilities";"0";"2";"15";"bar";"N";"bars#15"
"personal#Staff";"0";"2";"11";"personal";"R";"personal#11"
"facility#Facilities";"0";"2";"4";"facility";"N";"facility#4"
"animation#Facilities";"0";"2";"20";"animation";"N";"animation#20"
"he#Staff";"0";"2";"19";"he";"Q";"he#19"
"linen#Beds";"0";"2";"7";"linen";"G";"linen#7"
"welcome#Staff";"0";"2";"14";"welcome";"N";"welcome#14"
"weekend#unknown";"0";"1";"16";"weekend";"N";"weekend#16"
"garage#Car parking";"0";"1";"2";"garage";"N";"garage#2"
"everybody#unknown";"0";"1";"11";"everybody";"N";"everybody#11"
"jacuzzi#Facilities";"0";"1";"2";"jacuzzi";"N";"jacuzzi#2"
"trier#Location";"0";"1";"4";"Trier";"R";"trier#4"
"average#unknown";"0";"1";"9";"average";"G";"average#9"
"variety#Restaurant";"0";"1";"13";"variety";"N";"variety#13"
"swimmingpool#Swimming pool";"0";"1";"3";"swimmingpool";"N";"swimmingpool#3"
"hotel#Location";"0";"1";"678";"hotel";"N";"hotel#680"
"sheets#Beds";"0";"1";"4";"sheet";"N";"sheets#4"
"activities#Facilities";"0";"1";"5";"activity";"N";"activities#5"
"situation#Location";"0";"1";"6";"situation";"N";"situation#6"
"area#Interior/exterior";"0";"1";"67";"area";"N";"area#67"
"shows#Facilities";"0";"1";"2";"show";"N";"shows#2"
"i#unknown";"0";"1";"393";"i";"N";"i#393"
"building#Interior/exterior";"0";"1";"12";"building";"N";"building#12"
"state#unknown";"0";"1";"6";"state";"N";"state#6"
"shopping#Location";"0";"1";"20";"shopping";"N";"shopping#20"
"views#Rooms";"0";"1";"8";"view";"N";"views#8"
"access#Facilities";"0";"1";"15";"access";"N";"access#15"
"gardens#Facilities";"0";"1";"6";"garden";"N";"gardens#6"
"stains#Cleanliness";"0";"1";"3";"stain";"N";"stains#3"
"airport#Location";"0";"1";"32";"airport";"V";"airport#32"
"massage#Facilities";"0";"1";"4";"massage";"N";"massage#4"
"apartment#unknown";"0";"1";"3";"apartment";"N";"apartment#3"
"transport#Transportation";"0";"1";"7";"transport";"N";"transport#7"
"cinema#Facilities";"0";"1";"2";"cinema";"N";"cinema#2"
"welcome#unknown";"0";"1";"14";"welcome";"N";"welcome#14"
"wellness#Staff";"0";"1";"12";"wellness";"N";"wellness#12"
"anything#unknown";"0";"1";"11";"anything";"N";"anything#11"
"caffees#Location";"0";"1";"2";"caffees";"N";"caffees#2"
"slippers#Facilities";"0";"1";"2";"slipper";"N";"slippers#2"
"travelodges#unknown";"0";"1";"2";"Travelodges";"R";"travelodges#2"
"refund#unknown";"0";"1";"2";"refund";"N";"refund#2"
"window#Rooms";"0";"1";"5";"window";"N";"window#5"
"·#Internet";"0";"1";"213";"·";"V";"·#216"
"complex#unknown";"0";"1";"5";"complex";"N";"complex#5"
"pizza#Restaurant";"0";"1";"2";"pizza";"N";"pizza#2"
"view#unknown";"0";"1";"33";"view";"N";"view#33"
"variety#unknown";"0";"1";"13";"variety";"N";"variety#13"
"one#unknown";"0";"1";"98";"one";"O";"one#98"
"swimmingpools#Swimming pool";"0";"1";"2";"swimmingpools";"N";"swimmingpools#2"
"köln#Location";"0";"1";"5";"Köln";"R";"köln#5"
"kitchen#Restaurant";"0";"1";"3";"kitchen";"N";"kitchen#3"
"position#unknown";"0";"1";"4";"position";"N";"position#4"
"room.#Rooms";"0";"1";"2";"room.";"N";"room.#2"
"destination#unknown";"0";"1";"2";"destination";"N";"destination#2"
"quiet#Noisiness";"0";"1";"21";"quiet";"G";"quiet#21"
"setting#unknown";"0";"1";"2";"setting";"N";"setting#2"
"water#unknown";"0";"1";"19";"Water";"R";"water#19"
"grounds#Interior/exterior";"0";"1";"7";"ground";"N";"grounds#7"
"receptionists#Staff";"0";"1";"4";"receptionist";"N";"receptionists#4"
"flag#unknown";"0";"1";"3";"flag";"N";"flag#3"
"attitude#Staff";"0";"1";"3";"attitude";"N";"attitude#3"
"furniture#Rooms";"0";"1";"6";"furniture";"N";"furniture#6"
"guys#Staff";"0";"1";"4";"guy";"N";"guys#4"
"situation#unknown";"0";"1";"6";"situation";"N";"situation#6"
"features#unknown";"0";"1";"3";"feature";"N";"features#3"
"soap#Bathroom";"0";"1";"2";"soap";"N";"soap#2"
"areas#Interior/exterior";"0";"1";"16";"area";"N";"areas#16"
"grounds#Facilities";"0";"1";"7";"ground";"N";"grounds#7"
"supermarket#Facilities";"0";"1";"6";"supermarket";"N";"supermarket#6"
"animators#Staff";"0";"1";"5";"animator";"N";"animators#5"
"mattress#Beds";"0";"1";"2";"mattress";"N";"mattress#2"
"slippers#Bathroom";"0";"1";"2";"slipper";"N";"slippers#2"
"cafe#Facilities";"0";"1";"3";"cafe";"N";"cafe#3"
"continental#Breakfast";"0";"1";"2";"continental";"G";"continental#2"
"tea#Facilities";"0";"1";"12";"tea";"N";"tea#12"
"gardens#Interior/exterior";"0";"1";"6";"garden";"N";"gardens#6"
"closed#Rooms";"0";"1";"5";"close";"V";"closed#5"
"music#Noisiness";"0";"1";"16";"music";"N";"music#16"
"option#unknown";"0";"1";"8";"option";"N";"option#8"
"everyone#Staff";"0";"1";"9";"everyone";"N";"everyone#9"
"dogs#unknown";"0";"1";"5";"dog";"N";"dogs#5"
"way#unknown";"0";"1";"17";"way";"N";"way#17"
"animation#Staff";"0";"1";"20";"animation";"N";"animation#20"
"center#Location";"0";"1";"36";"center";"N";"center#36"
"service#unknown";"0";"1";"79";"service";"N";"service#79"
"swimmingpools#Facilities";"0";"1";"2";"swimmingpools";"N";"swimmingpools#2"
"moments#unknown";"0";"1";"2";"moment";"N";"moments#2"
"clubs#Location";"0";"1";"2";"club";"N";"clubs#2"
"both#unknown";"0";"1";"9";"both";"G";"both#9"
"walking#unknown";"0";"1";"30";"walking";"N";"walking#30"
"speed#Internet";"0";"1";"4";"speed";"N";"speed#4"
"carpet#Interior/exterior";"0";"1";"2";"carpet";"N";"carpet#2"
"stuff#Staff";"0";"1";"5";"stuff";"N";"stuff#5"
"people.#Staff";"0";"1";"2";"people.";"N";"people.#2"
"amenities#Bathroom";"0";"1";"9";"amenity";"N";"amenities#9"
"terrace#Rooms";"0";"1";"3";"terrace";"N";"terrace#3"
"balcony#Interior/exterior";"0";"1";"10";"balcony";"N";"balcony#10"
"walls#unknown";"0";"1";"6";"wall";"N";"walls#6"
"position#Location";"0";"1";"4";"position";"N";"position#4"
"equipment#Facilities";"0";"1";"6";"equipment";"N";"equipment#6"
"clubs#Facilities";"0";"1";"2";"club";"N";"clubs#2"
"elegance#unknown";"0";"1";"2";"elegance";"N";"elegance#2"
"hospitality#Staff";"0";"1";"3";"hospitality";"N";"hospitality#3"
"television#Facilities";"0";"1";"3";"television";"N";"television#3"
"surrounding#Location";"0";"1";"5";"surround";"V";"surrounding#5"
"sea#Location";"0";"1";"15";"sea";"N";"sea#15"
"offer#unknown";"0";"1";"10";"offer";"N";"offer#10"
"attitude#unknown";"0";"1";"3";"attitude";"N";"attitude#3"
"nothing#unknown";"0";"1";"27";"nothing";"N";"nothing#27"
"russians#unknown";"0";"1";"10";"Russians";"R";"russians#10"
"garden#Facilities";"0";"1";"4";"garden";"N";"garden#4"
"rest#unknown";"0";"1";"15";"rest";"N";"rest#15"
"liquires#unknown";"0";"1";"2";"liquires";"N";"liquires#2"
"keys#unknown";"0";"1";"3";"key";"N";"keys#3"
"country#unknown";"0";"1";"8";"country";"N";"country#8"
"thomsons#Location";"0";"1";"2";"thomsons";"N";"thomsons#2"
"times#unknown";"0";"1";"23";"time";"N";"times#23"
"property#unknown";"0";"1";"3";"property";"N";"property#3"
"rooms#unknown";"0";"1";"124";"room";"N";"rooms#124"
"repair#Interior/exterior";"0";"1";"2";"repair";"N";"repair#2"
"monmarte#Location";"0";"1";"2";"Monmarte";"R";"monmarte#2"
"tables#Interior/exterior";"0";"1";"5";"table";"N";"tables#5"
"breakfasts#Breakfast";"0";"1";"3";"breakfast";"N";"breakfasts#3"
"tram#Transportation";"0";"1";"7";"tram";"N";"tram#7"
"weekends#unknown";"0";"1";"4";"weekend";"N";"weekends#4"
"views#unknown";"0";"1";"8";"view";"N";"views#8"
"information#unknown";"0";"1";"4";"information";"N";"information#4"
"bread#Breakfast";"0";"1";"6";"bread";"G";"bread#6"
"eggs#Breakfast";"0";"1";"2";"egg";"N";"eggs#2"
"flat#Facilities";"0";"1";"5";"flat";"G";"flat#5"
"dana#Location";"0";"1";"24";"Dana";"R";"dana#24"
"louvre#Location";"0";"1";"3";"Louvre";"R";"louvre#3"
"buffet#Restaurant";"0";"1";"14";"buffet";"N";"buffet#14"
"setting#Location";"0";"1";"2";"setting";"N";"setting#2"
"facility#unknown";"0";"1";"4";"facility";"N";"facility#4"
"hosts#unknown";"0";"1";"10";"host";"N";"hosts#10"
"washbasin#Bathroom";"0";"1";"2";"washbasin";"N";"washbasin#2"
"animations#Facilities";"0";"1";"2";"ANIMATIONS";"R";"animations#2"
"customer#unknown";"0";"1";"3";"customer";"N";"customer#3"
"amsterdam#Location";"0";"1";"16";"Amsterdam";"R";"amsterdam#16"
"restourant#Facilities";"0";"1";"2";"restourant";"N";"restourant#2"
"juices#Breakfast";"0";"1";"2";"juice";"N";"juices#2"
"sheraton#Location";"0";"1";"2";"Sheraton";"R";"sheraton#2"
"help#Staff";"0";"1";"19";"help";"N";"help#19"
"access#unknown";"0";"1";"15";"access";"N";"access#15"
"range#Restaurant";"0";"1";"7";"range";"N";"range#7"
"food#Breakfast";"0";"1";"131";"food";"N";"food#131"
"playground#unknown";"0";"1";"2";"playground";"N";"playground#2"
"stairs#Interior/exterior";"0";"1";"3";"stair";"N";"stairs#3"
"view#Interior/exterior";"0";"1";"33";"view";"N";"view#33"
"bars#Location";"0";"1";"15";"bar";"N";"bars#15"
"coffee#Facilities";"0";"1";"21";"coffee";"N";"coffee#21"
"frankfurt#unknown";"0";"1";"10";"Frankfurt";"R";"frankfurt#10"
"diner#Restaurant";"0";"1";"2";"Diner";"R";"diner#2"
"restaurant#Location";"0";"1";"70";"restaurant";"N";"restaurant#70"
"show#Facilities";"0";"1";"5";"show";"N";"show#5"
"size#Rooms";"0";"1";"17";"size";"N";"size#17"
"palace#unknown";"0";"1";"9";"palace";"N";"palace#9"
"sheets#Rooms";"0";"1";"4";"sheet";"N";"sheets#4"
