"exp#pol";"ratio";"RelatFreq";"OverallFreq";"lemmas";"postags";"FreqWords"
"pleasant.#positive";"1";"1";"1";"pleasant.";"N";"pleasant.#1"
"applied#positive";"1";"1";"1";"apply";"V";"applied#1"
"delightful#strongpositive";"1";"1";"1";"delightful";"G";"delightful#1"
"welcomes#positive";"1";"1";"1";"welcome";"V";"welcomes#1"
"gratis#positive";"1";"1";"1";"gratis";"N";"gratis#1"
"outbeaten#strongpositive";"1";"1";"1";"outbeaten";"G";"outbeaten#1"
"candy#positive";"1";"1";"1";"candy";"N";"candy#1"
"diabolical#strongnegative";"1";"1";"1";"diabolical";"N";"diabolical#1"
"sizeable#positive";"1";"1";"1";"sizeable";"G";"sizeable#1"
"sastisfied#positive";"1";"1";"1";"sastisfied";"V";"sastisfied#1"
"invite#positive";"1";"1";"1";"invite";"V";"invite#1"
"humid#negative";"1";"1";"1";"humid";"G";"humid#1"
"competent#positive";"1";"1";"1";"competent";"G";"competent#1"
"apposed#negative";"1";"1";"1";"appose";"V";"apposed#1"
"respected#positive";"1";"1";"1";"respect";"V";"respected#1"
"enthusiastic#strongpositive";"1";"1";"1";"enthusiastic";"G";"enthusiastic#1"
"frienly#positive";"1";"1";"1";"frienly";"A";"frienly#1"
"collapses#negative";"1";"1";"1";"collapse";"N";"collapses#1"
"friendy#positive";"1";"1";"1";"friendy";"G";"friendy#1"
"humorous#positive";"1";"1";"1";"humorous";"G";"humorous#1"
"friendly.#positive";"1";"1";"1";"friendly.";"N";"friendly.#1"
"substantial#positive";"1";"1";"1";"substantial";"G";"substantial#1"
"satisfies#positive";"1";"1";"1";"satisfies";"N";"satisfies#1"
"cosy#positive";"1";"1";"1";"cosy";"N";"cosy#1"
"perfekt#strongpositive";"1";"1";"1";"perfekt";"G";"perfekt#1"
"great.#strongpositive";"1";"1";"1";"great.";"G";"great.#1"
"breathtaken#strongpositive";"1";"1";"1";"breathtaken";"G";"breathtaken#1"
"quaint#positive";"1";"1";"1";"quaint";"G";"quaint#1"
"unbearable#negative";"1";"1";"1";"unbearable";"G";"unbearable#1"
"quietly#positive";"1";"1";"1";"quietly";"A";"quietly#1"
"lousy#strongnegative";"1";"1";"1";"lousy";"G";"lousy#1"
"welcome.would#positive";"1";"1";"1";"welcome.would";"O";"welcome.would#1"
"terrific#strongpositive";"1";"1";"1";"terrific";"G";"terrific#1"
"larger#positive";"1";"1";"1";"larger";"G";"larger#1"
"ridiculous#negative";"1";"1";"1";"ridiculous";"G";"ridiculous#1"
"unforgettable#strongpositive";"1";"1";"1";"unforgettable";"G";"unforgettable#1"
"spacious.the#positive";"1";"1";"1";"spacious.the";"G";"spacious.the#1"
"dirty.our#negative";"1";"1";"1";"Dirty.our";"R";"dirty.our#1"
"prompt#positive";"1";"1";"1";"prompt";"G";"prompt#1"
"silly#negative";"1";"1";"1";"silly";"A";"silly#1"
"healthy#positive";"1";"1";"1";"healthy";"G";"healthy#1"
"8th#positive";"1";"1";"1";"8th";"G";"8th#1"
"courtesious#positive";"1";"1";"1";"courtesious";"G";"courtesious#1"
"contemporary#positive";"1";"1";"1";"contemporary";"G";"contemporary#1"
"creative#positive";"1";"1";"1";"creative";"G";"creative#1"
"calm#positive";"1";"1";"1";"calm";"G";"calm#1"
"say.love#strongpositive";"1";"1";"1";"say.love";"V";"say.love#1"
"slendid#strongpositive";"1";"1";"1";"slendid";"G";"slendid#1"
"admire#positive";"1";"1";"1";"admire";"V";"admire#1"
"faded#negative";"1";"1";"1";"fade";"V";"faded#1"
"marvelous#strongpositive";"1";"1";"1";"marvellous";"G";"marvelous#1"
"impersonal#negative";"1";"1";"1";"impersonal";"G";"impersonal#1"
"cancelation#positive";"1";"1";"1";"cancelation";"N";"cancelation#1"
"chipped#negative";"1";"1";"1";"chip";"V";"chipped#1"
"dull#negative";"1";"1";"1";"dull";"A";"dull#1"
"panoramic#positive";"1";"1";"1";"panoramic";"G";"panoramic#1"
"proffesional#positive";"1";"1";"1";"proffesional";"G";"proffesional#1"
"brocken#negative";"1";"1";"1";"brocken";"V";"brocken#1"
"avoiding#positive";"1";"1";"1";"avoid";"V";"avoiding#1"
"dirt#negative";"1";"1";"1";"dirt";"N";"dirt#1"
"incl.#positive";"1";"1";"1";"incl.";"V";"incl.#1"
"hbo#negative";"1";"1";"1";"HBO";"R";"hbo#1"
"idem#negative";"1";"1";"1";"Idem";"R";"idem#1"
"smooth#positive";"1";"1";"1";"smooth";"A";"smooth#1"
"massive#strongpositive";"1";"1";"1";"massive";"G";"massive#1"
"abundant#positive";"1";"1";"1";"abundant";"G";"abundant#1"
"disadvantages#negative";"1";"1";"1";"disadvantage";"N";"disadvantages#1"
"surprising#positive";"1";"1";"1";"surprise";"V";"surprising#1"
"fab#strongpositive";"1";"1";"1";"fab";"N";"fab#1"
"possitive#positive";"1";"1";"1";"possitive";"G";"possitive#1"
"claustrophobic#strongnegative";"1";"1";"1";"claustrophobic";"G";"claustrophobic#1"
"beautified#positive";"1";"1";"1";"beautify";"V";"beautified#1"
"beautifull#positive";"1";"1";"1";"Beautifull";"R";"beautifull#1"
"helpful.athe#positive";"1";"1";"1";"helpful.athe";"G";"helpful.athe#1"
"compact#positive";"1";"1";"1";"compact";"G";"compact#1"
"dedicaced#positive";"1";"1";"1";"dedicaced";"G";"dedicaced#1"
"bland#negative";"1";"1";"1";"bland";"G";"bland#1"
"faulty#negative";"1";"1";"1";"faulty";"G";"faulty#1"
"great.and#strongpositive";"1";"1";"1";"great.and";"N";"great.and#1"
"rotten#negative";"1";"1";"1";"rotten";"G";"rotten#1"
"leaking#negative";"1";"1";"1";"leak";"V";"leaking#1"
"ok.#positive";"1";"1";"1";"ok.";"G";"ok.#1"
"god#positive";"1";"1";"1";"god";"N";"god#1"
"grubby#negative";"1";"1";"1";"grubby";"G";"grubby#1"
"organised#positive";"1";"1";"1";"organise";"V";"organised#1"
"impeccable#strongpositive";"1";"1";"1";"impeccable";"G";"impeccable#1"
"varieous#positive";"1";"1";"1";"varieous";"G";"varieous#1"
"thin#negative";"1";"1";"1";"thin";"G";"thin#1"
"grewat#strongpositive";"1";"1";"1";"grewat";"G";"grewat#1"
"varied.#positive";"1";"1";"1";"varied.";"V";"varied.#1"
"crappy#strongnegative";"1";"1";"1";"crappy";"G";"crappy#1"
"helpfull.#positive";"1";"1";"1";"helpfull.";"N";"helpfull.#1"
"underconstruction#negative";"1";"1";"1";"underconstruction";"N";"underconstruction#1"
"redecorated#positive";"1";"1";"1";"redecorate";"V";"redecorated#1"
"overworked#negative";"1";"1";"1";"overworked";"G";"overworked#1"
"replenished#positive";"1";"1";"1";"replenish";"V";"replenished#1"
"trendy#positive";"1";"1";"1";"Trendy";"R";"trendy#1"
"giant#strongpositive";"1";"1";"1";"giant";"G";"giant#1"
"painting#positive";"1";"1";"1";"paint";"V";"painting#1"
"classic#positive";"1";"1";"1";"classic";"G";"classic#1"
"appreciate#positive";"1";"1";"1";"appreciate";"V";"appreciate#1"
"separate#positive";"1";"1";"1";"separate";"G";"separate#1"
"torn#negative";"1";"1";"1";"torn";"G";"torn#1"
"inexpensive#positive";"1";"1";"1";"inexpensive";"G";"inexpensive#1"
"good#positive";"0";"133";"275";"good";"G";"good#275"
"great#strongpositive";"0";"99";"156";"great";"G";"great#156"
"nice#positive";"0";"99";"168";"nice";"G";"nice#168"
"excellent#strongpositive";"0";"90";"98";"excellent";"G";"excellent#98"
"friendly#positive";"0";"74";"126";"friendly";"G";"friendly#126"
"clean#positive";"0";"69";"131";"clean";"G";"clean#131"
"free#positive";"0";"30";"42";"free";"G";"free#42"
"no#negative";"0";"30";"105";"no";"D";"no#105"
"perfect#strongpositive";"0";"26";"34";"perfect";"G";"perfect#34"
"helpful#positive";"0";"26";"45";"helpful";"G";"helpful#45"
"wonderful#strongpositive";"0";"24";"36";"wonderful";"G";"wonderful#36"
"beautiful#positive";"0";"23";"31";"beautiful";"G";"beautiful#31"
"ok#positive";"0";"19";"28";"ok";"N";"ok#28"
"comfortable#positive";"0";"19";"32";"comfortable";"G";"comfortable#32"
"big#positive";"0";"19";"42";"big";"G";"big#42"
"small#negative";"0";"18";"67";"small";"G";"small#68"
"fantastic#strongpositive";"0";"18";"22";"fantastic";"G";"fantastic#22"
"modern#positive";"0";"15";"26";"modern";"G";"modern#26"
"quiet#positive";"0";"15";"21";"quiet";"G";"quiet#21"
"best#strongpositive";"0";"14";"64";"good";"G";"best#64"
"old#negative";"0";"14";"48";"old";"G";"old#48"
"amazing#strongpositive";"0";"14";"19";"amazing";"G";"amazing#19"
"large#positive";"0";"14";"27";"large";"G";"large#27"
"lovely#positive";"0";"14";"29";"lovely";"G";"lovely#29"
"enjoyed#positive";"0";"13";"26";"enjoy";"V";"enjoyed#26"
"recommend#positive";"0";"12";"39";"recommend";"V";"recommend#39"
"super#strongpositive";"0";"12";"16";"super";"N";"super#16"
"fine#positive";"0";"11";"15";"fine";"G";"fine#15"
"poor#negative";"0";"11";"27";"poor";"G";"poor#27"
"delicious#strongpositive";"0";"11";"12";"delicious";"G";"delicious#12"
"bad#negative";"0";"11";"33";"bad";"G";"bad#33"
"cheap#positive";"0";"9";"19";"cheap";"G";"cheap#19"
"dirty#negative";"0";"9";"13";"dirty";"G";"dirty#13"
"had#positive";"0";"8";"154";"have";"V";"had#154"
"noisy#negative";"0";"7";"14";"noisy";"G";"noisy#14"
"lovely#strongpositive";"0";"7";"29";"lovely";"G";"lovely#29"
"awesome#strongpositive";"0";"7";"9";"awesome";"G";"awesome#9"
"relaxing#positive";"0";"7";"15";"relaxing";"G";"relaxing#15"
"budget#positive";"0";"7";"15";"budget";"N";"budget#15"
"close#positive";"0";"7";"50";"close";"A";"close#50"
"not#negative";"0";"7";"259";"not";"A";"not#259"
"spacious#positive";"0";"7";"13";"spacious";"G";"spacious#13"
"fresh#positive";"0";"7";"10";"fresh";"G";"fresh#10"
"offered#positive";"0";"7";"13";"offer";"V";"offered#13"
"warm#positive";"0";"6";"13";"warm";"G";"warm#13"
"tiny#strongnegative";"0";"6";"8";"tiny";"G";"tiny#8"
"basic#negative";"0";"6";"18";"basic";"G";"basic#18"
"professional#positive";"0";"5";"11";"professional";"G";"professional#11"
"available#positive";"0";"5";"19";"available";"G";"available#19"
"kind#positive";"0";"5";"19";"kind";"N";"kind#19"
"helpfull#positive";"0";"5";"11";"helpfull";"G";"helpfull#11"
"dark#negative";"0";"5";"6";"dark";"G";"dark#6"
"have#positive";"0";"5";"138";"have";"V";"have#138"
"liked#positive";"0";"5";"12";"like";"V";"liked#12"
"offers#positive";"0";"5";"8";"offer";"V";"offers#8"
"efficient#positive";"0";"5";"7";"efficient";"G";"efficient#7"
"noise#negative";"0";"4";"20";"noise";"A";"noise#20"
"decent#positive";"0";"4";"8";"decent";"G";"decent#8"
"missed#negative";"0";"4";"5";"miss";"V";"missed#5"
"expensive#negative";"0";"4";"17";"expensive";"G";"expensive#17"
"dated#negative";"0";"4";"7";"date";"V";"dated#7"
"terrible#strongnegative";"0";"4";"8";"terrible";"G";"terrible#8"
"special#positive";"0";"4";"17";"special";"G";"special#17"
"rude#negative";"0";"4";"9";"rude";"G";"rude#9"
"enjoy#positive";"0";"4";"11";"enjoy";"V";"enjoy#11"
"tidy#positive";"0";"4";"5";"tidy";"G";"tidy#5"
"brilliant#strongpositive";"0";"4";"9";"brilliant";"G";"brilliant#9"
"loved#strongpositive";"0";"4";"6";"love";"V";"loved#6"
"adequate#positive";"0";"4";"5";"adequate";"G";"adequate#5"
"knowledgeable#positive";"0";"4";"5";"knowledgeable";"G";"knowledgeable#5"
"awful#strongnegative";"0";"4";"5";"awful";"G";"awful#5"
"comfy#positive";"0";"4";"6";"comfy";"G";"comfy#6"
"new#positive";"0";"4";"20";"new";"G";"new#20"
"central#positive";"0";"4";"11";"central";"R";"central#11"
"polite#positive";"0";"3";"5";"polite";"G";"polite#5"
"cold#negative";"0";"3";"6";"cold";"G";"cold#6"
"near#positive";"0";"3";"27";"near";"P";"near#27"
"attentive#positive";"0";"3";"8";"attentive";"G";"attentive#8"
"convenient#positive";"0";"3";"8";"convenient";"G";"convenient#8"
"huge#strongpositive";"0";"3";"10";"huge";"G";"huge#10"
"affordable#positive";"0";"3";"5";"affordable";"G";"affordable#5"
"alright#positive";"0";"3";"5";"alright";"A";"alright#5"
"interesting#positive";"0";"3";"6";"interesting";"G";"interesting#6"
"avoid#negative";"0";"3";"5";"avoid";"P";"avoid#5"
"welcoming#positive";"0";"3";"6";"welcoming";"G";"welcoming#6"
"okay#positive";"0";"3";"6";"okay";"G";"okay#6"
"attractive#positive";"0";"3";"4";"attractive";"G";"attractive#4"
"including#positive";"0";"3";"7";"include";"V";"including#7"
"great#positive";"0";"3";"156";"great";"G";"great#156"
"luxury#positive";"0";"3";"11";"luxury";"N";"luxury#11"
"pleasant#positive";"0";"3";"13";"pleasant";"G";"pleasant#13"
"loud#negative";"0";"3";"13";"loud";"G";"loud#13"
"hear#negative";"0";"2";"10";"hear";"V";"hear#10"
"complained#negative";"0";"2";"4";"complain";"V";"complained#4"
"provided#positive";"0";"2";"17";"provide";"V";"provided#17"
"disappointed#negative";"0";"2";"4";"disappointed";"G";"disappointed#4"
"hot#positive";"0";"2";"12";"hot";"G";"hot#12"
"got#positive";"0";"2";"24";"get";"V";"got#24"
"small#positive";"0";"2";"67";"small";"G";"small#68"
"safe#positive";"0";"2";"9";"safe";"G";"safe#9"
"hard#negative";"0";"2";"13";"hard";"G";"hard#13"
"huge#positive";"0";"2";"10";"huge";"G";"huge#10"
"fast#positive";"0";"2";"9";"fast";"A";"fast#9"
"reasonable#positive";"0";"2";"8";"reasonable";"G";"reasonable#8"
"better#positive";"0";"2";"33";"better";"A";"better#33"
"wonderfull#strongpositive";"0";"2";"3";"wonderfull";"G";"wonderfull#3"
"comfort#positive";"0";"2";"10";"comfort";"N";"comfort#10"
"no#positive";"0";"2";"105";"no";"D";"no#105"
"charming#positive";"0";"2";"3";"charming";"G";"charming#3"
"outstanding#strongpositive";"0";"2";"5";"outstanding";"G";"outstanding#5"
"vip#strongpositive";"0";"2";"4";"VIP";"R";"vip#4"
"elegant#positive";"0";"2";"4";"elegant";"G";"elegant#4"
"renovated#positive";"0";"2";"4";"renovate";"V";"renovated#4"
"generous#positive";"0";"2";"4";"generous";"G";"generous#4"
"stained#negative";"0";"2";"3";"stain";"V";"stained#3"
"disappointing#negative";"0";"2";"3";"disappointing";"G";"disappointing#3"
"funny#positive";"0";"2";"5";"funny";"G";"funny#5"
"narrow#negative";"0";"2";"3";"narrow";"G";"narrow#3"
"closed#negative";"0";"2";"5";"closed";"G";"closed#5"
"found#negative";"0";"2";"22";"find";"V";"found#22"
"limited#negative";"0";"2";"5";"limited";"G";"limited#5"
"functional#positive";"0";"2";"3";"functional";"G";"functional#3"
"horrible#strongnegative";"0";"2";"4";"horrible";"G";"horrible#4"
"broken#negative";"0";"2";"3";"break";"V";"broken#3"
"confortable#positive";"0";"2";"3";"confortable";"G";"confortable#3"
"empty#negative";"0";"2";"5";"empty";"G";"empty#5"
"tasty#positive";"0";"2";"3";"tasty";"G";"tasty#3"
"included#positive";"0";"2";"10";"included";"G";"included#10"
"equipped#positive";"0";"2";"6";"equip";"V";"equipped#6"
"basic#positive";"0";"2";"18";"basic";"G";"basic#18"
"cozy#positive";"0";"2";"5";"cozy";"R";"cozy#5"
"little#negative";"0";"2";"47";"little";"G";"little#47"
"not#positive";"0";"2";"259";"not";"A";"not#259"
"has#positive";"0";"2";"28";"have";"V";"has#28"
"hade#positive";"0";"1";"2";"hade";"V";"hade#2"
"rebuilding#negative";"0";"1";"2";"rebuild";"V";"rebuilding#2"
"simple#negative";"0";"1";"3";"simple";"G";"simple#3"
"big#negative";"0";"1";"42";"big";"G";"big#42"
"fantastically#strongpositive";"0";"1";"2";"fantastically";"A";"fantastically#2"
"next#positive";"0";"1";"51";"next";"P";"next#51"
"romantic#positive";"0";"1";"3";"romantic";"G";"romantic#3"
"practical#positive";"0";"1";"2";"practical";"G";"practical#2"
"sufficient#positive";"0";"1";"4";"sufficient";"G";"sufficient#4"
"love#strongpositive";"0";"1";"4";"love";"V";"love#4"
"frequent#positive";"0";"1";"3";"frequent";"G";"frequent#3"
"red#negative";"0";"1";"5";"red";"G";"red#5"
"standard#negative";"0";"1";"19";"standard";"G";"standard#19"
"difficult#negative";"0";"1";"4";"difficult";"G";"difficult#4"
"gross#negative";"0";"1";"2";"gross";"G";"gross#2"
"discount#positive";"0";"1";"2";"discount";"N";"discount#2"
"reasonable#negative";"0";"1";"8";"reasonable";"G";"reasonable#8"
"find#positive";"0";"1";"21";"find";"V";"find#21"
"bigger#positive";"0";"1";"3";"bigger";"G";"bigger#3"
"wonderful#positive";"0";"1";"36";"wonderful";"G";"wonderful#36"
"space#negative";"0";"1";"12";"space";"N";"space#12"
"felt#positive";"0";"1";"7";"feel";"V";"felt#7"
"definately#strongnegative";"0";"1";"2";"definately";"A";"definately#2"
"only#positive";"0";"1";"84";"only";"A";"only#84"
"glad#positive";"0";"1";"4";"glad";"G";"glad#4"
"acceptable#positive";"0";"1";"2";"acceptable";"G";"acceptable#2"
"preferred#positive";"0";"1";"3";"prefer";"V";"preferred#3"
"get#negative";"0";"1";"49";"get";"V";"get#49"
"positive#positive";"0";"1";"6";"positive";"G";"positive#6"
"heated#positive";"0";"1";"4";"heat";"V";"heated#4"
"kindness#positive";"0";"1";"2";"kindness";"N";"kindness#2"
"happily#positive";"0";"1";"2";"happily";"A";"happily#2"
"luxurious#positive";"0";"1";"3";"luxurious";"G";"luxurious#3"
"uncomfortable#negative";"0";"1";"3";"uncomfortable";"G";"uncomfortable#3"
"are#positive";"0";"1";"218";"be";"V";"are#218"
"selection#positive";"0";"1";"7";"selection";"N";"selection#7"
"attended#positive";"0";"1";"2";"attend";"V";"attended#2"
"was#negative";"0";"1";"625";"be";"V";"was#626"
"disaster#strongnegative";"0";"1";"2";"disaster";"N";"disaster#2"
"great#strongnegative";"0";"1";"156";"great";"G";"great#156"
"go#positive";"0";"1";"51";"go";"V";"go#51"
"excelent#strongpositive";"0";"1";"2";"Excelent";"R";"excelent#2"
"family#positive";"0";"1";"18";"family";"N";"family#18"
"thing#positive";"0";"1";"19";"thing";"N";"thing#19"
"saw#negative";"0";"1";"4";"see";"V";"saw#4"
"many#positive";"0";"1";"31";"many";"G";"many#31"
"tired#negative";"0";"1";"5";"tired";"G";"tired#5"
"fancy#positive";"0";"1";"3";"fancy";"G";"fancy#3"
"luxurious#strongpositive";"0";"1";"3";"luxurious";"G";"luxurious#3"
"gave#positive";"0";"1";"4";"give";"V";"gave#4"
"boring#negative";"0";"1";"2";"boring";"G";"boring#2"
"reliable#positive";"0";"1";"3";"reliable";"G";"reliable#3"
"negative#negative";"0";"1";"2";"negative";"G";"negative#2"
"charme#positive";"0";"1";"2";"charme";"N";"charme#2"
"maximum#positive";"0";"1";"2";"maximum";"G";"maximum#2"
"prefer#positive";"0";"1";"2";"prefer";"V";"prefer#2"
"idea#strongpositive";"0";"1";"2";"Idea";"R";"idea#2"
"prefer#negative";"0";"1";"2";"prefer";"V";"prefer#2"
"some#positive";"0";"1";"65";"some";"D";"some#65"
"short#positive";"0";"1";"19";"short";"G";"short#19"
"used#negative";"0";"1";"11";"use";"V";"used#11"
"surprised#positive";"0";"1";"4";"surprise";"V";"surprised#4"
"received#positive";"0";"1";"3";"receive";"V";"received#3"
"given#positive";"0";"1";"9";"give";"V";"given#9"
"average#negative";"0";"1";"9";"average";"G";"average#9"
"low#positive";"0";"1";"10";"low";"A";"low#10"
"complaining#negative";"0";"1";"2";"complain";"V";"complaining#2"
"chic#positive";"0";"1";"2";"chic";"G";"chic#2"
"ideal#strongpositive";"0";"1";"5";"ideal";"G";"ideal#5"
"enjoyable#positive";"0";"1";"6";"enjoyable";"G";"enjoyable#6"
"residential#negative";"0";"1";"2";"residential";"G";"residential#2"
"stairs#negative";"0";"1";"3";"stair";"N";"stairs#3"
"offering#positive";"0";"1";"4";"offer";"V";"offering#4"
"improved#positive";"0";"1";"4";"improved";"G";"improved#4"
"typical#positive";"0";"1";"4";"typical";"G";"typical#4"
"design#positive";"0";"1";"6";"design";"N";"design#6"
"smaller#negative";"0";"1";"7";"smaller";"G";"smaller#7"
"provides#positive";"0";"1";"3";"provide";"V";"provides#3"
"pool#positive";"0";"1";"46";"pool";"N";"pool#46"
"pretty#positive";"0";"1";"11";"pretty";"G";"pretty#11"
"had#negative";"0";"1";"154";"have";"V";"had#154"
"like#positive";"0";"1";"56";"like";"P";"like#56"
"they#negative";"0";"1";"77";"they";"Q";"they#77"
"splendid#strongpositive";"0";"1";"3";"splendid";"G";"splendid#3"
"right#positive";"0";"1";"11";"right";"G";"right#11"
"dangerous#negative";"0";"1";"2";"dangerous";"G";"dangerous#2"
"luxury#strongpositive";"0";"1";"11";"luxury";"N";"luxury#11"
"minimal#negative";"0";"1";"3";"minimal";"G";"minimal#3"
"smart#positive";"0";"1";"2";"Smart";"R";"smart#2"
"extended#positive";"0";"1";"2";"extend";"V";"extended#2"
"organized#positive";"0";"1";"5";"organize";"V";"organized#5"
"average#positive";"0";"1";"9";"average";"G";"average#9"
"disaster#negative";"0";"1";"2";"disaster";"N";"disaster#2"
"normal#positive";"0";"1";"4";"normal";"G";"normal#4"
"extra#negative";"0";"1";"11";"extra";"G";"extra#11"
"ok#negative";"0";"1";"28";"ok";"N";"ok#28"
"hot#negative";"0";"1";"12";"hot";"G";"hot#12"
"served#positive";"0";"1";"7";"serve";"V";"served#7"
"plenty#positive";"0";"1";"6";"plenty";"G";"plenty#6"
"bring#negative";"0";"1";"3";"bring";"V";"bring#3"
"private#positive";"0";"1";"7";"private";"G";"private#7"
"took#positive";"0";"1";"16";"take";"V";"took#16"
"biggest#strongpositive";"0";"1";"4";"biggest";"G";"biggest#4"
"stunning#positive";"0";"1";"2";"stunning";"G";"stunning#2"
"cheap#negative";"0";"1";"19";"cheap";"G";"cheap#19"
"but#negative";"0";"1";"256";"but";"C";"but#256"
"same#negative";"0";"1";"12";"same";"G";"same#12"
"welcome#positive";"0";"1";"14";"welcome";"G";"welcome#14"
"found#positive";"0";"1";"22";"find";"V";"found#22"
"useless#negative";"0";"1";"2";"useless";"G";"useless#2"
"unpleasant#negative";"0";"1";"3";"unpleasant";"G";"unpleasant#3"
"unconfortable#negative";"0";"1";"2";"unconfortable";"G";"unconfortable#2"
"quit#positive";"0";"1";"2";"quit";"O";"quit#2"
"smiling#positive";"0";"1";"7";"smile";"V";"smiling#7"
"charged#negative";"0";"1";"5";"charge";"V";"charged#5"
"furnished#positive";"0";"1";"7";"furnish";"V";"furnished#7"
"crowded#negative";"0";"1";"9";"crowded";"G";"crowded#9"
"ruined#negative";"0";"1";"3";"ruin";"V";"ruined#3"
"simple#positive";"0";"1";"3";"simple";"G";"simple#3"
"unique#strongpositive";"0";"1";"3";"unique";"G";"unique#3"
"vast#positive";"0";"1";"2";"vast";"G";"vast#2"
"correct#positive";"0";"1";"2";"correct";"G";"correct#2"
"relax#positive";"0";"1";"17";"Relax";"R";"relax#17"
"perfect#positive";"0";"1";"34";"perfect";"G";"perfect#34"
"there#negative";"0";"1";"213";"there";"A";"there#213"
"bars#positive";"0";"1";"15";"bar";"N";"bars#15"
"easy#positive";"0";"1";"16";"easy";"G";"easy#16"
"cleaned#positive";"0";"1";"13";"clean";"V";"cleaned#13"
"gym#positive";"0";"1";"13";"gym";"N";"gym#13"
"minimal#positive";"0";"1";"3";"minimal";"G";"minimal#3"
"top#strongpositive";"0";"1";"21";"top";"G";"top#21"
"short#negative";"0";"1";"19";"short";"G";"short#19"
"local#positive";"0";"1";"4";"local";"G";"local#4"
"enough#positive";"0";"1";"31";"enough";"A";"enough#31"
"only#negative";"0";"1";"84";"only";"A";"only#84"
"buffet#positive";"0";"1";"14";"buffet";"N";"buffet#14"
